进程: 360tray -- 2504
模块数: 99

模块名称                                    基地址             入口地址           内存大小           厂商                          模块路径
360tray.exe                                 0x00F90000         0x00FB8459         0x00064000         360.cn                        D:\Program Files (x86)\360\360safe\safemon\360tray.exe         
ntdll.dll                                   0x771D0000         0x00000000         0x00180000         Microsoft Corporation         C:\Windows\SysWOW64\ntdll.dll         
kernel32.dll                                0x75E10000         0x75E232D3         0x00110000         Microsoft Corporation         C:\Windows\syswow64\kernel32.dll         
KERNELBASE.dll                              0x74EF0000         0x74EF7478         0x00046000         Microsoft Corporation         C:\Windows\syswow64\KERNELBASE.dll         
USER32.dll                                  0x759D0000         0x759EB6ED         0x00100000         Microsoft Corporation         C:\Windows\syswow64\USER32.dll         
GDI32.dll                                   0x74D90000         0x74DA6343         0x00090000         Microsoft Corporation         C:\Windows\syswow64\GDI32.dll         
LPK.dll                                     0x771A0000         0x771A36A0         0x0000A000         Microsoft Corporation         C:\Windows\syswow64\LPK.dll         
USP10.dll                                   0x75910000         0x75943FD7         0x0009D000         Microsoft Corporation         C:\Windows\syswow64\USP10.dll         
msvcrt.dll                                  0x76D20000         0x76D2A472         0x000AC000         Microsoft Corporation         C:\Windows\syswow64\msvcrt.dll         
ADVAPI32.dll                                0x75D10000         0x75D249E5         0x000A0000         Microsoft Corporation         C:\Windows\syswow64\ADVAPI32.dll         
sechost.dll                                 0x757D0000         0x757D4975         0x00019000         Microsoft Corporation         C:\Windows\SysWOW64\sechost.dll         
RPCRT4.dll                                  0x753B0000         0x753C0569         0x000F0000         Microsoft Corporation         C:\Windows\syswow64\RPCRT4.dll         
SspiCli.dll                                 0x74D30000         0x74D4A3B3         0x00060000         Microsoft Corporation         C:\Windows\syswow64\SspiCli.dll         
CRYPTBASE.dll                               0x74D20000         0x74D210E1         0x0000C000         Microsoft Corporation         C:\Windows\syswow64\CRYPTBASE.dll         
SHELL32.dll                                 0x75F20000         0x75FA1601         0x00C4A000         Microsoft Corporation         C:\Windows\syswow64\SHELL32.dll         
SHLWAPI.dll                                 0x75350000         0x75369BA6         0x00057000         Microsoft Corporation         C:\Windows\syswow64\SHLWAPI.dll         
ole32.dll                                   0x755A0000         0x755EBA3D         0x0015C000         Microsoft Corporation         C:\Windows\syswow64\ole32.dll         
OLEAUT32.dll                                0x76B70000         0x76B73FB1         0x0008F000         Microsoft Corporation         C:\Windows\syswow64\OLEAUT32.dll         
COMCTL32.dll                                0x723C0000         0x723EE6B5         0x0019E000         Microsoft Corporation         C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\COMCTL32.dll         
IMM32.dll                                   0x757F0000         0x7580158F         0x00060000         Microsoft Corporation         C:\Windows\syswow64\IMM32.dll         
MSCTF.dll                                   0x75700000         0x7570168B         0x000CC000         Microsoft Corporation         C:\Windows\syswow64\MSCTF.dll         
SETUPAPI.dll                                0x75160000         0x751617E7         0x0019D000         Microsoft Corporation         C:\Windows\syswow64\SETUPAPI.dll         
CFGMGR32.dll                                0x758E0000         0x758E58B9         0x00027000         Microsoft Corporation         C:\Windows\syswow64\CFGMGR32.dll         
DEVOBJ.dll                                  0x759B0000         0x759B1441         0x00012000         Microsoft Corporation         C:\Windows\syswow64\DEVOBJ.dll         
VERSION.dll                                 0x74C50000         0x74C51220         0x00009000         Microsoft Corporation         C:\Windows\system32\VERSION.dll         
IPHLPAPI.DLL                                0x74920000         0x7492A431         0x0001C000         Microsoft Corporation         C:\Windows\system32\IPHLPAPI.DLL         
NSI.dll                                     0x75330000         0x75331782         0x00006000         Microsoft Corporation         C:\Windows\syswow64\NSI.dll         
WINNSI.DLL                                  0x74910000         0x7491128D         0x00007000         Microsoft Corporation         C:\Windows\system32\WINNSI.DLL         
dbghelp.dll                                 0x72AE0000         0x72AE13CE         0x000EB000         Microsoft Corporation         C:\Windows\system32\dbghelp.dll         
360base.dll                                 0x729D0000         0x72A48EF4         0x000E2000         360.cn                        D:\Program Files (x86)\360\360safe\360base.dll         
NETAPI32.dll                                0x74980000         0x74981300         0x00011000         Microsoft Corporation         C:\Windows\system32\NETAPI32.dll         
netutils.dll                                0x74970000         0x749715A6         0x00009000         Microsoft Corporation         C:\Windows\system32\netutils.dll         
srvcli.dll                                  0x74950000         0x74951319         0x00019000         Microsoft Corporation         C:\Windows\system32\srvcli.dll         
wkscli.dll                                  0x74940000         0x749412A1         0x0000F000         Microsoft Corporation         C:\Windows\system32\wkscli.dll         
CRYPT32.dll                                 0x76C00000         0x76C0158A         0x0011D000         Microsoft Corporation         C:\Windows\syswow64\CRYPT32.dll         
MSASN1.dll                                  0x75D00000         0x75D0238E         0x0000C000         Microsoft Corporation         C:\Windows\syswow64\MSASN1.dll         
360util.dll                                 0x72940000         0x72982E36         0x00081000         360.cn                        D:\Program Files (x86)\360\360safe\360util.dll         
WS2_32.dll                                  0x74FD0000         0x74FD145D         0x00035000         Microsoft Corporation         C:\Windows\syswow64\WS2_32.dll         
imagehlp.dll                                0x75300000         0x753012FA         0x0002A000         Microsoft Corporation         C:\Windows\syswow64\imagehlp.dll         
WTSAPI32.dll                                0x74B10000         0x74B111E0         0x0000D000         Microsoft Corporation         C:\Windows\system32\WTSAPI32.dll         
USERENV.dll                                 0x74AF0000         0x74AF1C9D         0x00017000         Microsoft Corporation         C:\Windows\system32\USERENV.dll         
